# Experiment: figure_02_eve_position_map
# Rows are ordered by y first and x second; mesh cols = 41.
# Coordinates and distances are normalized by wavelength.
# One diffuse channel realization is fixed over the full map.
# Position dependence enters through LOS direction and path loss.
grid_row grid_col eve_x_lambda eve_y_lambda eve_z_lambda eve_distance_lambda eve_azimuth_deg eve_elevation_deg vulnerability_qpsk min_entropy_leakage_qpsk vulnerability_16qam min_entropy_leakage_16qam
5 15 -5 10 0 11.18033989 116.5650512 0 0.9761825326 1.965222842 0.6843184404 3.452739729
5 16 -4 10 0 10.77032961 111.8014095 0 0.9987600319 1.998209994 0.7565384926 3.597485394
5 17 -3 10 0 10.44030651 106.6992442 0 0.9999647361 1.999949124 0.8409092586 3.750022035
5 18 -2 10 0 10.19803903 101.3099325 0 0.9999914649 1.999987686 0.8719495954 3.802316645
5 19 -1 10 0 10.04987562 95.71059314 0 0.9944801586 1.992014492 0.7934933942 3.666290118
5 20 0 10 0 10 90 0 0.8388194968 1.7464323 0.6439601574 3.365043335
5 21 1 10 0 10.04987562 84.28940686 0 0.7243754575 1.534809572 0.5239394197 3.067471915
5 22 2 10 0 10.19803903 78.69006753 0 0.6338552693 1.342225367 0.4448262168 2.831313724
5 23 3 10 0 10.44030651 73.30075577 0 0.5870177087 1.231475931 0.406043638 2.699706689
5 24 4 10 0 10.77032961 68.19859051 0 0.549502082 1.136196852 0.3680057826 2.557800341
5 25 5 10 0 11.18033989 63.43494882 0 0.5522009765 1.143265344 0.3620102592 2.534102488
5 26 6 10 0 11.66190379 59.03624347 0 0.5780299087 1.209216048 0.3491420494 2.481886025
5 27 7 10 0 12.20655562 55.0079798 0 0.56794284 1.183817644 0.3402923035 2.444846427
5 28 8 10 0 12.80624847 51.34019175 0 0.5347837154 1.09702744 0.3218843661 2.364614412
5 29 9 10 0 13.45362405 48.0127875 0 0.5321336242 1.089860472 0.331593515 2.407487697
5 30 10 10 0 14.14213562 45 0 0.5294908678 1.082677707 0.3263142806 2.384334031
5 31 11 10 0 14.86606875 42.27368901 0 0.5111223997 1.031740723 0.2999200978 2.262650106
5 32 12 10 0 15.62049935 39.80557109 0 0.4986134849 0.995993806 0.2875970005 2.202120534
5 33 13 10 0 16.40121947 37.56859203 0 0.4987144527 0.996285918 0.2889677167 2.20898023
5 34 14 10 0 17.20465053 35.53767779 0 0.5061802391 1.017723092 0.2908665383 2.218429241
5 35 15 10 0 18.02775638 33.69006753 0 0.508770266 1.025086263 0.2900263938 2.214256104
5 36 16 10 0 18.86796226 32.00538321 0 0.5044222212 1.012703737 0.2856193092 2.192165421
5 37 17 10 0 19.72308292 30.46554492 0 0.4942993049 0.9834567828 0.2785569891 2.156044419
5 38 18 10 0 20.59126028 29.0546041 0 0.4809109178 0.9438415842 0.2696344492 2.109076736
5 39 19 10 0 21.47091055 27.7585406 0 0.4658934387 0.898071918 0.2595546655 2.054110325
5 40 20 10 0 22.36067977 26.56505118 0 0.4506098984 0.8499509101 0.2490357013 1.994424484
6 0 -20 11 0 22.82542442 151.1892063 0 0.5372793458 1.103744284 0.2834875334 2.181357198
6 1 -19 11 0 21.9544984 149.9314172 0 0.5506386566 1.139177801 0.2944306452 2.235999744
6 2 -18 11 0 21.09502311 148.5704344 0 0.5653578421 1.177236213 0.3066846491 2.294827861
6 3 -17 11 0 20.24845673 147.0947571 0 0.5830091984 1.221590551 0.3202609769 2.357319924
6 4 -16 11 0 19.41648784 145.491477 0 0.6048722471 1.274702373 0.3357950865 2.425653025
